sigma_method,universe,estimator,allocator,window,frequency,cost_bps,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
max_eigen,us_sector_etf,rmt_hard,inverse_variance,252,monthly,10.000000,0.249241,0.239868,0.020883,0.115229,0.217890,0.100890,0.089557,10.262047,2.745600,2.678375
max_eigen,us_sector_etf,rmt_hard,minimum_variance,252,monthly,10.000000,0.223950,0.205600,0.017549,0.123765,0.229834,0.086396,0.188265,7.254833,2.865433,1.092078
max_eigen,us_sector_etf,rmt_hard,risk_parity,252,monthly,10.000000,0.188982,0.175746,0.013819,0.133537,0.278604,0.056035,0.146441,16.000000,3.022347,1.200115
max_eigen,us_sector_etf,rmt_hard,hrp,252,monthly,10.000000,0.121678,0.105464,0.005206,0.114220,0.282054,0.025073,0.153671,6.652058,2.653296,0.686294
max_eigen,us_sector_etf,rmt_hard,max_diversification,252,monthly,10.000000,0.119354,0.098471,0.003460,0.132057,0.303051,0.020579,0.229194,10.471046,3.124007,0.429640
max_eigen,us_sector_etf,rmt_soft,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.522305,1.553973,30.446443
max_eigen,us_sector_etf,rmt_soft,inverse_variance,252,monthly,10.000000,0.285199,0.280490,0.025362,0.113212,0.197915,0.130922,0.044848,13.004678,2.074459,6.254190
max_eigen,us_sector_etf,rmt_soft,minimum_variance,252,monthly,10.000000,0.308923,0.301839,0.026662,0.106161,0.179765,0.152620,0.063009,5.458713,2.104878,4.790409
max_eigen,us_sector_etf,rmt_soft,risk_parity,252,monthly,10.000000,0.361361,0.356833,0.032907,0.107468,0.192025,0.173998,0.040903,16.000000,2.185202,8.723877
max_eigen,us_sector_etf,rmt_soft,hrp,252,monthly,10.000000,0.208972,0.200359,0.014816,0.097480,0.217305,0.072111,0.070315,7.371514,2.018177,2.849441
max_eigen,us_sector_etf,rmt_soft,max_diversification,252,monthly,10.000000,0.293183,0.284251,0.022672,0.095092,0.199133,0.118199,0.070485,8.179870,2.327501,4.032819
max_eigen,us_sector_etf,rmt_rie,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.756594,1.439244,30.446443
max_eigen,us_sector_etf,rmt_rie,inverse_variance,252,monthly,10.000000,0.364592,0.361297,0.036130,0.118651,0.188095,0.194256,0.033114,14.217968,1.714996,10.910817
max_eigen,us_sector_etf,rmt_rie,minimum_variance,252,monthly,10.000000,0.308419,0.301971,0.026493,0.105464,0.179499,0.151534,0.057859,5.416796,1.863382,5.219095
max_eigen,us_sector_etf,rmt_rie,risk_parity,252,monthly,10.000000,0.454272,0.451257,0.046023,0.114998,0.180069,0.257617,0.029351,16.000000,1.790534,15.374766
max_eigen,us_sector_etf,rmt_rie,hrp,252,monthly,10.000000,0.257987,0.249946,0.020614,0.103706,0.210205,0.102123,0.069747,9.073136,1.759708,3.583593
max_eigen,us_sector_etf,rmt_rie,max_diversification,252,monthly,10.000000,0.382505,0.371661,0.032218,0.098866,0.168011,0.198391,0.090357,5.935737,2.008388,4.113247
cdf_fit,us_sector_etf,sample,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755547,1.405249,30.446443
cdf_fit,us_sector_etf,sample,inverse_variance,252,monthly,10.000000,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.988413
cdf_fit,us_sector_etf,sample,minimum_variance,252,monthly,10.000000,0.328913,0.322476,0.028639,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.589045
cdf_fit,us_sector_etf,sample,risk_parity,252,monthly,10.000000,0.457905,0.454877,0.046300,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.476710
cdf_fit,us_sector_etf,sample,hrp,252,monthly,10.000000,0.261403,0.253255,0.021001,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.565846
cdf_fit,us_sector_etf,sample,max_diversification,252,monthly,10.000000,0.380793,0.369596,0.031211,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.064003
cdf_fit,us_sector_etf,ledoit_wolf,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.783246,1.435755,30.446443
cdf_fit,us_sector_etf,ledoit_wolf,inverse_variance,252,monthly,10.000000,0.476187,0.473390,0.052943,0.126882,0.198953,0.268019,0.030448,14.324762,1.669094,15.547718
cdf_fit,us_sector_etf,ledoit_wolf,minimum_variance,252,monthly,10.000000,0.343222,0.337042,0.030295,0.105498,0.174512,0.177500,0.055529,5.494402,1.884278,6.069615
cdf_fit,us_sector_etf,ledoit_wolf,risk_parity,252,monthly,10.000000,0.500901,0.498167,0.053234,0.118933,0.178823,0.299624,0.027602,16.000000,1.788891,18.048556
cdf_fit,us_sector_etf,ledoit_wolf,hrp,252,monthly,10.000000,0.357647,0.349794,0.032744,0.109903,0.183810,0.183002,0.072332,10.126961,1.780737,4.835919
cdf_fit,us_sector_etf,ledoit_wolf,max_diversification,252,monthly,10.000000,0.398655,0.390130,0.035693,0.104318,0.160216,0.228582,0.075296,6.188832,2.012163,5.181264
cdf_fit,us_sector_etf,rmt_hard,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.756191,1.403596,30.446443
cdf_fit,us_sector_etf,rmt_hard,inverse_variance,252,monthly,10.000000,0.361060,0.357726,0.036137,0.120657,0.194997,0.187480,0.034132,14.250037,1.675279,10.480561
cdf_fit,us_sector_etf,rmt_hard,minimum_variance,252,monthly,10.000000,0.336848,0.329990,0.029481,0.105326,0.168180,0.179771,0.061402,5.122947,1.836274,5.374277
cdf_fit,us_sector_etf,rmt_hard,risk_parity,252,monthly,10.000000,0.459008,0.455983,0.046391,0.114431,0.178378,0.262119,0.029323,16.000000,1.757925,15.550233
cdf_fit,us_sector_etf,rmt_hard,hrp,252,monthly,10.000000,0.278995,0.270874,0.023112,0.105534,0.208816,0.114897,0.071975,9.277257,1.726536,3.763418
cdf_fit,us_sector_etf,rmt_hard,max_diversification,252,monthly,10.000000,0.370248,0.359027,0.030322,0.096605,0.155863,0.201738,0.091071,5.511878,1.992379,3.942266
cdf_fit,us_sector_etf,rmt_soft,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755119,1.414326,30.446443
cdf_fit,us_sector_etf,rmt_soft,inverse_variance,252,monthly,10.000000,0.360767,0.357483,0.035995,0.120161,0.193728,0.187932,0.033480,14.291543,1.691249,10.677658
cdf_fit,us_sector_etf,rmt_soft,minimum_variance,252,monthly,10.000000,0.332340,0.325963,0.029080,0.105473,0.173036,0.172117,0.057351,5.246784,1.842829,5.683628
cdf_fit,us_sector_etf,rmt_soft,risk_parity,252,monthly,10.000000,0.457961,0.454938,0.046308,0.114556,0.178671,0.261227,0.029340,16.000000,1.768065,15.505773
cdf_fit,us_sector_etf,rmt_soft,hrp,252,monthly,10.000000,0.261707,0.253177,0.021034,0.104292,0.212719,0.103172,0.074797,9.161232,1.740648,3.384872
cdf_fit,us_sector_etf,rmt_soft,max_diversification,252,monthly,10.000000,0.372719,0.361985,0.030609,0.096590,0.162155,0.195392,0.087296,5.675980,1.993447,4.146624
cdf_fit,us_sector_etf,rmt_rie,equal_weight,252,monthly,10.000000,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.756594,1.439244,30.446443
cdf_fit,us_sector_etf,rmt_rie,inverse_variance,252,monthly,10.000000,0.364592,0.361297,0.036130,0.118651,0.188095,0.194256,0.033114,14.217968,1.714996,10.910817
cdf_fit,us_sector_etf,rmt_rie,minimum_variance,252,monthly,10.000000,0.308419,0.301971,0.026493,0.105464,0.179499,0.151534,0.057859,5.416796,1.863382,5.219095
cdf_fit,us_sector_etf,rmt_rie,risk_parity,252,monthly,10.000000,0.454272,0.451257,0.046023,0.114998,0.180069,0.257617,0.029351,16.000000,1.790534,15.374766
cdf_fit,us_sector_etf,rmt_rie,hrp,252,monthly,10.000000,0.257987,0.249946,0.020614,0.103706,0.210205,0.102123,0.069747,9.073136,1.759708,3.583593
cdf_fit,us_sector_etf,rmt_rie,max_diversification,252,monthly,10.000000,0.382505,0.371661,0.032218,0.098866,0.168011,0.198391,0.090357,5.935737,2.008388,4.113247
