window,universe,estimator,allocator,frequency,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
500,us_sector_etf,factor_model,inverse_variance,monthly,10.000000,median_bulk,0.471717,0.468666,0.039851,0.092560,0.186731,0.215017,0.024173,13.639241,1.673105,19.388218
500,us_sector_etf,factor_model,minimum_variance,monthly,10.000000,median_bulk,0.494806,0.488225,0.034218,0.074681,0.146196,0.237615,0.042182,5.036449,1.956608,11.574144
500,us_sector_etf,factor_model,risk_parity,monthly,10.000000,median_bulk,0.446986,0.443838,0.037684,0.093130,0.194920,0.194917,0.025044,16.000000,1.899390,17.722280
500,us_sector_etf,factor_model,hrp,monthly,10.000000,median_bulk,0.212344,0.205876,0.013838,0.083555,0.205038,0.070165,0.045217,8.571118,1.802580,4.553112
500,us_sector_etf,factor_model,max_diversification,monthly,10.000000,median_bulk,0.345395,0.339290,0.022041,0.071857,0.155321,0.144829,0.037254,4.890712,2.279463,9.107432
756,us_sector_etf,sample,equal_weight,monthly,10.000000,median_bulk,0.664666,0.662341,0.071559,0.114472,0.174726,0.411196,0.022566,13.004171,1.355160,29.351793
756,us_sector_etf,sample,inverse_variance,monthly,10.000000,median_bulk,0.449944,0.446904,0.036065,0.087950,0.186962,0.194424,0.023170,14.750240,1.604727,19.287865
756,us_sector_etf,sample,minimum_variance,monthly,10.000000,median_bulk,0.427827,0.423794,0.033112,0.085494,0.195263,0.171444,0.029667,5.074142,1.725231,14.285044
756,us_sector_etf,sample,risk_parity,monthly,10.000000,median_bulk,0.489916,0.486933,0.041068,0.091247,0.198421,0.208444,0.023606,16.000000,1.669860,20.627808
756,us_sector_etf,sample,hrp,monthly,10.000000,median_bulk,0.385007,0.378947,0.027683,0.080617,0.186552,0.151136,0.041839,9.642976,1.683929,9.057369
756,us_sector_etf,sample,max_diversification,monthly,10.000000,median_bulk,0.355714,0.348896,0.028307,0.092087,0.211141,0.137139,0.052829,5.479989,1.872028,6.604316
756,us_sector_etf,ledoit_wolf,equal_weight,monthly,10.000000,median_bulk,0.664666,0.662341,0.071559,0.114472,0.174726,0.411196,0.022566,13.015910,1.369121,29.351793
756,us_sector_etf,ledoit_wolf,inverse_variance,monthly,10.000000,median_bulk,0.471720,0.468813,0.039003,0.090364,0.185766,0.211468,0.022726,14.626743,1.595677,20.629038
756,us_sector_etf,ledoit_wolf,minimum_variance,monthly,10.000000,median_bulk,0.416507,0.412524,0.032110,0.085467,0.196548,0.165201,0.029286,5.160448,1.749352,14.086045
756,us_sector_etf,ledoit_wolf,risk_parity,monthly,10.000000,median_bulk,0.492583,0.489705,0.041784,0.092349,0.200069,0.210272,0.023049,16.000000,1.687318,21.246570
756,us_sector_etf,ledoit_wolf,hrp,monthly,10.000000,median_bulk,0.427658,0.420415,0.031624,0.082074,0.185068,0.174240,0.050525,10.220031,1.704225,8.320865
756,us_sector_etf,ledoit_wolf,max_diversification,monthly,10.000000,median_bulk,0.389524,0.383414,0.030594,0.088863,0.198055,0.157334,0.046149,5.901684,1.886339,8.308208
756,us_sector_etf,constant_corr,equal_weight,monthly,10.000000,median_bulk,0.664666,0.662341,0.071559,0.114472,0.174726,0.411196,0.022566,13.015207,1.355760,29.351793
756,us_sector_etf,constant_corr,inverse_variance,monthly,10.000000,median_bulk,0.449944,0.446904,0.036065,0.087950,0.186962,0.194424,0.023170,14.764741,1.602302,19.287865
756,us_sector_etf,constant_corr,minimum_variance,monthly,10.000000,median_bulk,0.428411,0.424383,0.033163,0.085492,0.195126,0.171824,0.029631,5.070466,1.719073,14.322070
756,us_sector_etf,constant_corr,risk_parity,monthly,10.000000,median_bulk,0.490830,0.487853,0.041169,0.091281,0.198134,0.209254,0.023573,16.000000,1.665224,20.695382
756,us_sector_etf,constant_corr,hrp,monthly,10.000000,median_bulk,0.391959,0.385947,0.028202,0.080427,0.184847,0.155316,0.041465,9.652725,1.680911,9.307842
756,us_sector_etf,constant_corr,max_diversification,monthly,10.000000,median_bulk,0.364982,0.358227,0.029084,0.091707,0.208351,0.142674,0.052273,5.534798,1.865637,6.853072
756,us_sector_etf,rmt_hard,equal_weight,monthly,10.000000,median_bulk,0.664666,0.662341,0.071559,0.114472,0.174726,0.411196,0.022566,13.004285,1.353607,29.351793
