cost_bps,universe,estimator,allocator,window,frequency,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
20.000000,us_sector_etf,sample,inverse_variance,252,monthly,median_bulk,0.366133,0.359596,0.036035,0.119183,0.190198,0.193743,0.033023,14.264592,1.679073,10.889410
20.000000,us_sector_etf,sample,minimum_variance,252,monthly,median_bulk,0.328913,0.316032,0.027933,0.105165,0.174860,0.167825,0.057698,5.255054,1.838559,5.477360
20.000000,us_sector_etf,sample,risk_parity,252,monthly,median_bulk,0.457905,0.451847,0.045933,0.114553,0.178762,0.261050,0.029391,16.000000,1.756337,15.373615
20.000000,us_sector_etf,sample,hrp,252,monthly,median_bulk,0.261403,0.245103,0.020135,0.104027,0.208919,0.104676,0.071022,9.118829,1.727691,3.451062
20.000000,us_sector_etf,sample,max_diversification,252,monthly,median_bulk,0.380793,0.358385,0.030093,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,3.940726
20.000000,us_sector_etf,ledoit_wolf,equal_weight,252,monthly,median_bulk,0.634706,0.631784,0.094508,0.167495,0.280438,0.338928,0.020799,12.783246,1.435755,30.376177
20.000000,us_sector_etf,ledoit_wolf,inverse_variance,252,monthly,median_bulk,0.476187,0.470591,0.052562,0.126882,0.198953,0.268019,0.030448,14.324762,1.669094,15.455800
20.000000,us_sector_etf,ledoit_wolf,minimum_variance,252,monthly,median_bulk,0.343222,0.330855,0.029614,0.105498,0.174512,0.177500,0.055529,5.494402,1.884278,5.958206
20.000000,us_sector_etf,ledoit_wolf,risk_parity,252,monthly,median_bulk,0.500901,0.495432,0.052888,0.118933,0.178823,0.299624,0.027602,16.000000,1.788891,17.949446
20.000000,us_sector_etf,ledoit_wolf,hrp,252,monthly,median_bulk,0.357647,0.341938,0.031852,0.109903,0.183810,0.183002,0.072332,10.126961,1.780737,4.727305
20.000000,us_sector_etf,ledoit_wolf,max_diversification,252,monthly,median_bulk,0.398655,0.381597,0.034763,0.104318,0.160216,0.228582,0.075296,6.188832,2.012163,5.067941
20.000000,us_sector_etf,constant_corr,equal_weight,252,monthly,median_bulk,0.634706,0.631784,0.094508,0.167495,0.280438,0.338928,0.020799,12.775402,1.406074,30.376177
20.000000,us_sector_etf,constant_corr,inverse_variance,252,monthly,median_bulk,0.366133,0.359596,0.036035,0.119183,0.190198,0.193743,0.033023,14.281139,1.676448,10.889410
20.000000,us_sector_etf,constant_corr,minimum_variance,252,monthly,median_bulk,0.326421,0.313588,0.027667,0.105139,0.174781,0.166339,0.057452,5.263357,1.830250,5.458238
20.000000,us_sector_etf,constant_corr,risk_parity,252,monthly,median_bulk,0.458295,0.452263,0.046116,0.114935,0.178790,0.262027,0.029344,16.000000,1.750906,15.412639
20.000000,us_sector_etf,constant_corr,hrp,252,monthly,median_bulk,0.257192,0.241207,0.019771,0.104380,0.215209,0.099794,0.069879,9.114945,1.724388,3.451785
20.000000,us_sector_etf,constant_corr,max_diversification,252,monthly,median_bulk,0.382239,0.360248,0.030595,0.097198,0.166116,0.197555,0.090276,5.422083,1.980820,3.990523
20.000000,us_sector_etf,rmt_hard,equal_weight,252,monthly,median_bulk,0.634706,0.631784,0.094508,0.167495,0.280438,0.338928,0.020799,12.755473,1.403608,30.376177
20.000000,us_sector_etf,rmt_hard,inverse_variance,252,monthly,median_bulk,0.360213,0.353540,0.035597,0.120595,0.194769,0.187087,0.034118,14.287113,1.677486,10.362385
20.000000,us_sector_etf,rmt_hard,minimum_variance,252,monthly,median_bulk,0.325019,0.311775,0.027714,0.106402,0.173133,0.168574,0.060202,5.175349,1.842153,5.178771
20.000000,us_sector_etf,rmt_hard,risk_parity,252,monthly,median_bulk,0.458081,0.452020,0.045954,0.114553,0.178625,0.261370,0.029402,16.000000,1.757374,15.373586
20.000000,us_sector_etf,rmt_hard,hrp,252,monthly,median_bulk,0.278358,0.260664,0.021928,0.105011,0.210231,0.113387,0.078214,9.233026,1.727118,3.332690
20.000000,us_sector_etf,rmt_hard,max_diversification,252,monthly,median_bulk,0.381131,0.357804,0.030264,0.096889,0.160519,0.203143,0.095182,5.396956,1.992306,3.759173
20.000000,us_sector_etf,rmt_soft,equal_weight,252,monthly,median_bulk,0.634706,0.631784,0.094508,0.167495,0.280438,0.338928,0.020799,12.755020,1.411335,30.376177
20.000000,us_sector_etf,rmt_soft,inverse_variance,252,monthly,median_bulk,0.361200,0.354629,0.035604,0.120013,0.193192,0.188559,0.033432,14.296103,1.688007,10.607387
20.000000,us_sector_etf,rmt_soft,minimum_variance,252,monthly,median_bulk,0.331070,0.318331,0.028222,0.105367,0.174027,0.170215,0.057170,5.245282,1.842690,5.568109
20.000000,us_sector_etf,rmt_soft,risk_parity,252,monthly,median_bulk,0.457923,0.451872,0.045939,0.114562,0.178716,0.261148,0.029361,16.000000,1.764388,15.390186
