frequency,universe,estimator,allocator,window,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
monthly,us_sector_etf,rmt_rie,inverse_variance,252,10.000000,median_bulk,0.364592,0.361297,0.036130,0.118651,0.188095,0.194256,0.033114,14.217968,1.714996,10.910817
monthly,us_sector_etf,rmt_rie,minimum_variance,252,10.000000,median_bulk,0.308419,0.301971,0.026493,0.105464,0.179499,0.151534,0.057859,5.416796,1.863382,5.219095
monthly,us_sector_etf,rmt_rie,risk_parity,252,10.000000,median_bulk,0.454272,0.451257,0.046023,0.114998,0.180069,0.257617,0.029351,16.000000,1.790534,15.374766
monthly,us_sector_etf,rmt_rie,hrp,252,10.000000,median_bulk,0.257987,0.249946,0.020614,0.103706,0.210205,0.102123,0.069747,9.073136,1.759708,3.583593
monthly,us_sector_etf,rmt_rie,max_diversification,252,10.000000,median_bulk,0.382505,0.371661,0.032218,0.098866,0.168011,0.198391,0.090357,5.935737,2.008388,4.113247
monthly,us_sector_etf,factor_model,equal_weight,252,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.737695,1.391222,30.446443
monthly,us_sector_etf,factor_model,inverse_variance,252,10.000000,median_bulk,0.366133,0.362866,0.036442,0.119183,0.190198,0.193743,0.033023,13.709883,1.700450,10.988413
monthly,us_sector_etf,factor_model,minimum_variance,252,10.000000,median_bulk,0.391896,0.384057,0.034085,0.100735,0.169284,0.206237,0.067090,4.983953,2.027620,5.724485
monthly,us_sector_etf,factor_model,risk_parity,252,10.000000,median_bulk,0.428935,0.425542,0.041241,0.109548,0.180261,0.230946,0.031364,16.000000,1.889860,13.567769
monthly,us_sector_etf,factor_model,hrp,252,10.000000,median_bulk,0.215847,0.207300,0.015916,0.101487,0.214881,0.078182,0.072787,8.627401,1.784311,2.848048
monthly,us_sector_etf,factor_model,max_diversification,252,10.000000,median_bulk,0.307681,0.299775,0.022629,0.087640,0.155539,0.150072,0.058327,4.783840,2.310492,5.139548
quarterly,us_sector_etf,sample,equal_weight,252,10.000000,median_bulk,0.606356,0.605397,0.094860,0.176581,0.249202,0.381412,0.044542,12.756771,1.401909,13.591731
quarterly,us_sector_etf,sample,inverse_variance,252,10.000000,median_bulk,0.450657,0.447674,0.043823,0.109194,0.143155,0.308505,0.082668,14.221254,1.683928,5.415322
quarterly,us_sector_etf,sample,minimum_variance,252,10.000000,median_bulk,0.403044,0.398752,0.036097,0.101936,0.151066,0.242121,0.118625,5.230905,1.842332,3.361438
quarterly,us_sector_etf,sample,risk_parity,252,10.000000,median_bulk,0.548830,0.546390,0.052694,0.104245,0.143369,0.369466,0.066787,16.000000,1.760722,8.181062
quarterly,us_sector_etf,sample,hrp,252,10.000000,median_bulk,0.392922,0.386827,0.030708,0.088238,0.148244,0.210897,0.136106,8.949666,1.734628,2.842109
quarterly,us_sector_etf,sample,max_diversification,252,10.000000,median_bulk,0.475083,0.466814,0.039094,0.091458,0.146491,0.272443,0.200140,5.306502,1.996344,2.332434
quarterly,us_sector_etf,ledoit_wolf,equal_weight,252,10.000000,median_bulk,0.606356,0.605397,0.094860,0.176581,0.249202,0.381412,0.044542,12.784426,1.432321,13.591731
quarterly,us_sector_etf,ledoit_wolf,inverse_variance,252,10.000000,median_bulk,0.526564,0.524289,0.058944,0.123967,0.145598,0.406953,0.074110,14.314509,1.671158,7.074505
quarterly,us_sector_etf,ledoit_wolf,minimum_variance,252,10.000000,median_bulk,0.418343,0.414201,0.037872,0.102409,0.150213,0.255215,0.114708,5.481009,1.887837,3.610926
quarterly,us_sector_etf,ledoit_wolf,risk_parity,252,10.000000,median_bulk,0.576376,0.574271,0.059403,0.111640,0.143234,0.416513,0.061776,16.000000,1.792649,9.296008
quarterly,us_sector_etf,ledoit_wolf,hrp,252,10.000000,median_bulk,0.458969,0.453680,0.040636,0.098524,0.146814,0.280524,0.133615,9.926430,1.790827,3.395427
quarterly,us_sector_etf,ledoit_wolf,max_diversification,252,10.000000,median_bulk,0.478782,0.472943,0.043485,0.101053,0.139681,0.315864,0.155254,6.165162,2.017345,3.046247
quarterly,us_sector_etf,constant_corr,equal_weight,252,10.000000,median_bulk,0.606356,0.605397,0.094860,0.176581,0.249202,0.381412,0.044542,12.777068,1.402816,13.591731
quarterly,us_sector_etf,constant_corr,inverse_variance,252,10.000000,median_bulk,0.450657,0.447674,0.043823,0.109194,0.143155,0.308505,0.082668,14.247486,1.680808,5.415322
quarterly,us_sector_etf,constant_corr,minimum_variance,252,10.000000,median_bulk,0.401642,0.397345,0.035824,0.101529,0.150887,0.240580,0.118057,5.239198,1.833050,3.365702
quarterly,us_sector_etf,constant_corr,risk_parity,252,10.000000,median_bulk,0.547995,0.545573,0.052946,0.104967,0.143358,0.371240,0.066613,16.000000,1.754257,8.190183
quarterly,us_sector_etf,constant_corr,hrp,252,10.000000,median_bulk,0.382578,0.376794,0.030187,0.089544,0.147893,0.207740,0.131507,8.967578,1.729913,2.865206
quarterly,us_sector_etf,constant_corr,max_diversification,252,10.000000,median_bulk,0.478486,0.470361,0.039903,0.092650,0.146279,0.278340,0.198913,5.383480,1.985858,2.364654
quarterly,us_sector_etf,rmt_hard,equal_weight,252,10.000000,median_bulk,0.606356,0.605397,0.094860,0.176581,0.249202,0.381412,0.044542,12.756755,1.400181,13.591731
quarterly,us_sector_etf,rmt_hard,inverse_variance,252,10.000000,median_bulk,0.446092,0.443078,0.043580,0.110013,0.142182,0.308952,0.084223,14.246952,1.682463,5.260763
quarterly,us_sector_etf,rmt_hard,minimum_variance,252,10.000000,median_bulk,0.412221,0.407880,0.036959,0.101640,0.147369,0.254086,0.120227,5.197096,1.847380,3.392596
quarterly,us_sector_etf,rmt_hard,risk_parity,252,10.000000,median_bulk,0.549086,0.546638,0.052719,0.104239,0.143145,0.370220,0.066949,16.000000,1.761741,8.164986
quarterly,us_sector_etf,rmt_hard,hrp,252,10.000000,median_bulk,0.380407,0.374738,0.029726,0.088621,0.148823,0.203246,0.127883,9.110429,1.733008,2.930319
quarterly,us_sector_etf,rmt_hard,max_diversification,252,10.000000,median_bulk,0.465406,0.457363,0.038038,0.090983,0.141029,0.275312,0.193521,5.359952,1.998725,2.363384
quarterly,us_sector_etf,rmt_soft,equal_weight,252,10.000000,median_bulk,0.606356,0.605397,0.094860,0.176581,0.249202,0.381412,0.044542,12.756205,1.407924,13.591731
quarterly,us_sector_etf,rmt_soft,inverse_variance,252,10.000000,median_bulk,0.447161,0.444162,0.043575,0.109631,0.142605,0.307972,0.083412,14.252778,1.692942,5.324894
quarterly,us_sector_etf,rmt_soft,minimum_variance,252,10.000000,median_bulk,0.409288,0.405037,0.036683,0.101701,0.149420,0.248674,0.117357,5.228167,1.846906,3.451314
quarterly,us_sector_etf,rmt_soft,risk_parity,252,10.000000,median_bulk,0.548906,0.546464,0.052706,0.104252,0.143274,0.369793,0.066842,16.000000,1.768729,8.175508
quarterly,us_sector_etf,rmt_soft,hrp,252,10.000000,median_bulk,0.374738,0.368915,0.029393,0.089315,0.147795,0.202536,0.132751,8.984781,1.742055,2.779006
quarterly,us_sector_etf,rmt_soft,max_diversification,252,10.000000,median_bulk,0.474531,0.466546,0.039213,0.091803,0.142878,0.279976,0.193363,5.503133,1.998948,2.412796
